date,ticker,close,sma_200,drawdown_6m,zscore,buy_score,tier,trend_score,drawdown_score,zscore_score,suggested_buy_usd
2021-11-16,VOO,405.6675720214844,365.8995700073242,0.0,1.2682440732109217,25,WAIT,1.0,0.0,0.0,0.0
2021-11-17,VOO,404.6897277832031,366.2890365600586,-0.0024104569990855973,1.10844023640101,25,WAIT,1.0,0.020087141659046646,0.0,0.0
2021-11-18,VOO,406.09075927734375,366.66721801757814,0.0,1.1779584532839653,25,WAIT,1.0,0.0,0.0,0.0
2021-11-19,VOO,405.3291320800781,367.03498291015626,-0.001875509796433139,1.0394672092806538,25,WAIT,1.0,0.015629248303609494,0.0,0.0
2021-11-22,VOO,404.2571105957031,367.38514694213865,-0.004515366675429067,0.8838086996414637,26,WAIT,1.0,0.03762805562857556,0.0,0.0
2021-11-23,VOO,404.78375244140625,367.73929412841795,-0.0032185091782520603,0.9216164434560651,26,WAIT,1.0,0.02682090981876717,0.0,0.0
2021-11-24,VOO,405.7804260253906,368.09907623291014,-0.000764196783264337,1.0499702643880835,25,WAIT,1.0,0.006368306527202809,0.0,0.0
2021-11-26,VOO,396.9507751464844,368.41201049804687,-0.022507244801936332,-0.33410938013548136,37,DCA_ONLY,1.0,0.18756037334946946,0.13364375205419254,200.0
2021-11-29,VOO,401.7464904785156,368.7404067993164,-0.010697778020260618,0.38121648943236114,29,WAIT,1.0,0.08914815016883848,0.0,0.0
2021-11-30,VOO,394.0545959472656,369.0319256591797,-0.02963909681544341,-1.0910191833010752,49,DCA_ONLY,1.0,0.24699247346202843,0.43640767332043007,200.0
2021-12-01,VOO,389.5221557617187,369.3004103088379,-0.0408002475730046,-1.9448936042106322,63,BUY,1.0,0.34000206310837167,0.7779574416842528,300.0
2021-12-02,VOO,395.4650573730469,369.6057768249512,-0.026165830326220108,-0.8790363101446725,45,DCA_ONLY,1.0,0.21804858605183425,0.351614524057869,200.0
2021-12-03,VOO,391.9670104980469,369.8967245483398,-0.03477978372231538,-1.5598705159886281,56,BUY,1.0,0.2898315310192949,0.6239482063954512,300.0
2021-12-06,VOO,396.64990234375,370.2242114257813,-0.023248145193931924,-0.7033570382839647,42,DCA_ONLY,1.0,0.19373454328276604,0.28134281531358585,200.0
2021-12-07,VOO,404.8025512695313,370.5903663635254,-0.003172216994311472,0.8899155445102035,26,WAIT,1.0,0.02643514161926227,0.0,0.0
2021-12-08,VOO,405.94036865234375,370.9438740539551,-0.0003703374715239294,1.054706295987241,25,WAIT,1.0,0.003086145596032745,0.0,0.0
2021-12-09,VOO,403.1758117675781,371.32377029418944,-0.0071780690477983855,0.4262533108591319,27,WAIT,1.0,0.05981724206498655,0.0,0.0
2021-12-10,VOO,407.0218200683594,371.7318783569336,0.0,1.1879778004775454,25,WAIT,1.0,0.0,0.0,0.0
2021-12-13,VOO,403.4109191894531,372.0822331237793,-0.008871516712051997,0.3561376246708,28,WAIT,1.0,0.07392930593376665,0.0,0.0
2021-12-14,VOO,400.6651306152344,372.43175018310546,-0.015617564316471766,-0.27914696032512143,34,WAIT,1.0,0.1301463693039314,0.11165878413004857,0.0
2021-12-15,VOO,406.9277038574219,372.8344079589844,-0.0002312313647501174,1.0592811617840792,25,WAIT,1.0,0.0019269280395843118,0.0,0.0
2021-12-16,VOO,403.2510070800781,373.23878738403323,-0.00926440009444196,0.23159383571837716,28,WAIT,1.0,0.07720333412034967,0.0,0.0
2021-12-17,VOO,399.0665588378906,373.5926914978027,-0.019545048540966836,-0.6592194011049308,40,DCA_ONLY,1.0,0.162875404508057,0.26368776044197234,200.0
2021-12-20,VOO,394.7503967285156,373.93306640625,-0.030149300933750345,-1.4871193153829494,54,DCA_ONLY,1.0,0.2512441744479196,0.5948477261531797,200.0
2021-12-21,VOO,401.7560424804687,374.28561828613283,-0.01293733487557569,0.03626100546567117,29,WAIT,1.0,0.10781112396313075,0.0,0.0
2021-12-22,VOO,405.8143005371094,374.64822265625,-0.0029667194035130073,0.8924892351232921,26,WAIT,1.0,0.024722661695941728,0.0,0.0
2021-12-23,VOO,408.3153381347656,375.00573989868167,0.0,1.3325076046040698,25,WAIT,1.0,0.0,0.0,0.0
2021-12-27,VOO,414.138427734375,375.3899992370605,0.0,2.2312611808606873,25,WAIT,1.0,0.0,0.0,0.0
2021-12-28,VOO,413.8269958496094,375.7629275512695,-0.0007519994859432888,1.9673384298864247,25,WAIT,1.0,0.006266662382860741,0.0,0.0
2021-12-29,VOO,414.3271789550781,376.140265045166,0.0,1.8730986224537929,25,WAIT,1.0,0.0,0.0,0.0
2021-12-30,VOO,413.1568908691406,376.50621307373046,-0.002824550609711207,1.5721011827946738,26,WAIT,1.0,0.023537921747593393,0.0,0.0
2021-12-31,VOO,412.0243835449219,376.89149032592775,-0.005557915403869518,1.3137710193985064,27,WAIT,1.0,0.04631596169891265,0.0,0.0
2022-01-03,VOO,414.5536804199219,377.292392578125,0.0,1.5903991297153028,25,WAIT,1.0,0.0,0.0,0.0
2022-01-04,VOO,414.3838195800781,377.6792282104492,-0.00040974389534231825,1.4647470046656481,25,WAIT,1.0,0.0034145324611859857,0.0,0.0
2022-01-05,VOO,406.4466247558594,378.03875732421875,-0.019556105872345575,0.32514426472080155,32,WAIT,1.0,0.16296754893621312,0.0,0.0
2022-01-06,VOO,405.8992309570313,378.4048110961914,-0.020876547167845816,0.24195943083102792,32,WAIT,1.0,0.17397122639871515,0.0,0.0
2022-01-07,VOO,404.4929809570313,378.7544792175293,-0.02426874959281411,0.04866033732384807,34,WAIT,1.0,0.2022395799401176,0.0,0.0
2022-01-10,VOO,403.9645080566406,379.07421585083006,-0.025543549275825916,-0.06062695475176923,35,DCA_ONLY,1.0,0.21286291063188265,0.02425078190070769,200.0
2022-01-11,VOO,407.5036926269531,379.4126759338379,-0.01700621204430619,0.42297260380355606,31,WAIT,1.0,0.1417184337025516,0.0,0.0
2022-01-12,VOO,408.72113037109375,379.76156646728515,-0.014069468742673008,0.547754227346472,30,WAIT,1.0,0.11724557285560841,0.0,0.0
2022-01-13,VOO,403.0867919921875,380.07555999755857,-0.027660804786774573,-0.4026006197242711,40,DCA_ONLY,1.0,0.23050670655645478,0.16104024788970844,200.0
2022-01-14,VOO,403.2094421386719,380.3721389770508,-0.027364944076141984,-0.4454255472416034,40,DCA_ONLY,1.0,0.22804120063451655,0.17817021889664136,200.0
2022-01-18,VOO,396.14056396484375,380.60857345581053,-0.044416724117432915,-1.7875304100833125,63,BUY,1.0,0.37013936764527433,0.715012164033325,300.0
2022-01-19,VOO,391.9784851074219,380.82517822265623,-0.054456627401383795,-2.3814010649734456,73,BUY,1.0,0.453805228344865,0.9525604259893783,300.0
2022-01-20,VOO,387.6655578613281,381.01802337646484,-0.06486041212167615,-2.640334847578618,79,STRONG_BUY,1.0,0.5405034343473013,1.0,500.0
2022-01-21,VOO,380.0491943359375,381.1642863464356,-0.08323285430497951,-3.0263749981067893,68,BUY,0.3,0.6936071192081626,1.0,300.0
2022-01-24,VOO,381.6347961425781,381.3058673095703,-0.07940801356292049,-2.442173525448485,84,STRONG_BUY,1.0,0.6617334463576707,0.976869410179394,500.0
2022-01-25,VOO,377.0007934570313,381.42348419189454,-0.09058630700094472,-2.521139791163669,71,BUY,0.3,0.7548858916745393,1.0,300.0
2022-01-26,VOO,376.1513671875,381.5320431518555,-0.09263532093967242,-2.279170829373981,69,BUY,0.3,0.7719610078306035,0.9116683317495925,300.0
2022-01-27,VOO,374.2449645996094,381.63676818847654,-0.09723400785992742,-2.1700104828246096,70,BUY,0.3,0.8102833988327285,0.8680041931298439,300.0
2022-01-28,VOO,383.4185791015625,381.76839935302735,-0.07510511373779405,-1.321049264006549,69,BUY,1.0,0.6258759478149505,0.5284197056026196,300.0
2022-01-31,VOO,390.43072509765625,381.9288333129883,-0.05819018491846528,-0.723700062026805,55,BUY,1.0,0.4849182076538774,0.289480024810722,300.0
2022-02-01,VOO,392.9789123535156,382.1108349609375,-0.0520433639487945,-0.5044729010959698,50,DCA_ONLY,1.0,0.4336946995732875,0.2017891604383879,200.0
2022-02-02,VOO,396.7257080078125,382.3246479797363,-0.04300522044346711,-0.21570169461913666,43,DCA_ONLY,1.0,0.35837683702889256,0.08628067784765467,200.0
2022-02-03,VOO,387.5050659179687,382.4757308959961,-0.06524755605728627,-0.8916262386262562,60,BUY,1.0,0.5437296338107189,0.3566504954505025,300.0
2022-02-04,VOO,389.3265075683594,382.6523143005371,-0.06085381470020634,-0.704926768606821,56,BUY,1.0,0.5071151225017195,0.2819707074427284,300.0
2022-02-07,VOO,388.0430603027344,382.803611907959,-0.06394978833702203,-0.752138865941297,58,BUY,1.0,0.5329149028085169,0.3008555463765188,300.0
2022-02-08,VOO,391.185791015625,382.966746673584,-0.056368790118149215,-0.4611689417343057,51,DCA_ONLY,1.0,0.46973991765124345,0.1844675766937223,200.0
2022-02-09,VOO,396.9239501953125,383.1591325378418,-0.04252701412939175,0.03967164247505171,40,DCA_ONLY,1.0,0.3543917844115979,0.0,200.0
